Class,Title,Instructor,Cr Hrs,Type,Enroll,Limit,Bld,Room,Day,Start,Stop,Unit Dept,Start Mtg Dt,End Mtg Dt,Session ID,Session Desc,Session Start Dt,Session End Dt,School Drop Dt,Last Reg Dt,Eligible Grade Dt,Last Drop w/o W Dt,Last Drop with W Dt,XRG,Non XRG
CAS AA103 A1,Intro Af/Am Lit,Boelcskevy,4,Independent,0,10,,,"Tue,Thu",11:00 AM,12:15 PM,20229,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AA113 A1,Antiracism,Kendi,4,Independent,0,25,,,Mon,2:30 PM,5:15 PM,20229,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS AA132 A1,Prison Writing,Owen,4,Independent,0,10,,,"Tue,Thu",12:30 PM,1:45 PM,,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AA200 A1,Tpcs: Af-Am,Culik-Baird,4,Independent,0,10,,,"Mon,Wed,Fri",1:25 PM,2:15 PM,20229,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AA200 A1,Tpcs: Af-Am,Uden,,,,,,,,,,,,,,,,,,,,,,0,0
CAS AA207 A1,Race&Ethnic Rel,Grundy,4,Lecture,0,40,,,"Tue,Thu",3:30 PM,4:45 PM,20229,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AA207 A2,Race&Ethnic Rel,Grundy,0,Discussion,0,13,,,Fri,10:10 AM,11:00 AM,20229,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AA207 A3,Race&Ethnic Rel,Grundy,0,Discussion,0,13,,,Fri,12:20 PM,1:10 PM,20229,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AA207 A4,Race&Ethnic Rel,Grundy,0,Discussion,0,14,,,Fri,2:30 PM,3:20 PM,20229,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AA234 A1,Afam Glnl Persp,Scott,4,Independent,0,18,,,"Mon,Wed,Fri",9:05 AM,9:55 AM,20229,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AA296 A1,Rel & Hip Hop,Guillory,4,Independent,0,25,,,"Mon,Wed,Fri",10:10 AM,11:00 AM,20229,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AA300 A1,Tpcs: Af-Am,Monet-Viera,4,Independent,0,7,,,"Mon,Wed,Fri",9:05 AM,9:55 AM,20229,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AA304 A1,Afam Womn Wrtrs,Boelcskevy,4,Independent,0,10,,,"Tue,Thu",12:30 PM,1:45 PM,20229,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AA305 A1,Toni Morrison,Boelcskevy,4,Independent,0,10,,,"Tue,Thu",3:30 PM,4:45 PM,20229,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AA311 A1,Afro-Am Relig,Guillory,4,Independent,0,13,,,"Mon,Wed,Fri",12:20 PM,1:10 PM,20229,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AA319 A1,Race & Justice,Piston,4,Independent,0,10,,,"Tue,Thu",2:00 PM,3:15 PM,20229,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AA335 A1,Race Class&Gndr,Grundy,4,Independent,0,15,,,Tue,12:30 PM,3:15 PM,20229,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS AA371 A1,Af/Am History,Austin,4,Independent,0,20,,,"Mon,Wed,Fri",10:10 AM,11:00 AM,20229,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AA380 A1,Af Diasp in Eur,Heywood,4,Independent,0,9,,,"Tue,Thu",3:30 PM,4:45 PM,20229,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AA408 A1,S: Minorty Grps,Stone,4,Independent,0,8,,,Thu,3:30 PM,6:15 PM,20229,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AA459 A1,Reparations,Scott,4,Independent,0,18,,,"Mon,Wed,Fri",10:10 AM,11:00 AM,20229,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AA477 A1,Crst:Blk Diaspo,Owen,4,Independent,0,8,,,"Tue,Thu",3:30 PM,4:45 PM,,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AA514 A1,Labor Afro Atl,Thornton,4,Independent,0,8,,,Fri,11:15 AM,2:00 PM,20229,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AA519 A1,Inequalty&Am Po,Einstein,4,Independent,0,4,,,Thu,8:00 AM,10:45 AM,20229,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AA523 A1,Childhood Hist,Austin,4,Independent,0,10,,,Wed,2:30 PM,5:15 PM,20229,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS AA591 A1,Black Thought,Chude-Sokei,4,Independent,0,10,,,"Tue,Thu",12:30 PM,1:45 PM,20229,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AH111 A1,Anc to MED Art,Martin,4,Lecture,0,216,,,"Tue,Thu",11:00 AM,12:15 PM,20208,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AH111 B1,Anc to MED Art,Martin,0,Discussion,0,18,,,Mon,10:10 AM,11:00 AM,20208,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS AH111 B1,Anc to MED Art,Kahn,,,,,,,,,,,,,,,,,,,,,,0,0
CAS AH111 C1,Anc to MED Art,Martin,0,Discussion,0,18,,,Mon,11:15 AM,12:05 PM,20208,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS AH111 C1,Anc to MED Art,Kahn,,,,,,,,,,,,,,,,,,,,,,0,0
CAS AH111 D1,Anc to MED Art,Martin,0,Discussion,0,18,,,Mon,12:20 PM,1:10 PM,20208,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS AH111 D1,Anc to MED Art,Kahn,,,,,,,,,,,,,,,,,,,,,,0,0
CAS AH111 E1,Anc to MED Art,Martin,0,Discussion,0,18,,,Mon,1:25 PM,2:15 PM,20208,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS AH111 E1,Anc to MED Art,Kahn,,,,,,,,,,,,,,,,,,,,,,0,0
CAS AH111 F1,Anc to MED Art,Martin,0,Discussion,0,18,,,Tue,2:00 PM,2:50 PM,20208,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS AH111 F1,Anc to MED Art,Kahn,,,,,,,,,,,,,,,,,,,,,,0,0
CAS AH111 G1,Anc to MED Art,Martin,0,Discussion,0,18,,,Tue,5:00 PM,5:50 PM,20208,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS AH111 G1,Anc to MED Art,Kahn,,,,,,,,,,,,,,,,,,,,,,0,0
CAS AH111 H1,Anc to MED Art,Martin,0,Discussion,0,18,,,Wed,10:10 AM,11:00 AM,20208,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS AH111 H1,Anc to MED Art,Kahn,,,,,,,,,,,,,,,,,,,,,,0,0
CAS AH111 I1,Anc to MED Art,Martin,0,Discussion,0,18,,,Wed,2:30 PM,3:20 PM,20208,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS AH111 I1,Anc to MED Art,Kahn,,,,,,,,,,,,,,,,,,,,,,0,0
CAS AH111 J1,Anc to MED Art,Martin,0,Discussion,0,18,,,Wed,3:35 PM,4:25 PM,20208,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS AH111 J1,Anc to MED Art,Kahn,,,,,,,,,,,,,,,,,,,,,,0,0
CAS AH111 K1,Anc to MED Art,Martin,0,Discussion,0,18,,,Thu,2:00 PM,2:50 PM,20208,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AH111 K1,Anc to MED Art,Kahn,,,,,,,,,,,,,,,,,,,,,,0,0
CAS AH111 L1,Anc to MED Art,Martin,0,Discussion,0,18,,,Thu,5:00 PM,5:50 PM,20208,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AH111 L1,Anc to MED Art,Kahn,,,,,,,,,,,,,,,,,,,,,,0,0
CAS AH111 M1,Anc to MED Art,Martin,0,Discussion,0,18,,,Fri,10:10 AM,11:00 AM,20208,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AH111 M1,Anc to MED Art,Kahn,,,,,,,,,,,,,,,,,,,,,,0,0
CAS AH201 A1,Understand Arch,Abramson,4,Independent,0,80,,,"Tue,Thu",2:00 PM,3:15 PM,20208,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AH210 A1,Learning to See,Ribner,4,Lecture,0,36,,,"Mon,Wed,Fri",9:05 AM,9:55 AM,20208,09/03/2021,12/10/2021,,,,,,,,,,0,0
